,COMPANY,DATE,OPEN,CLOSE
0,AFKS,2008-01-10,41.55,42.34
1,AFKS,2008-01-11,42.35,46.2
2,AFKS,2008-01-14,46.2,44.75
3,AFKS,2008-01-15,45.11,44.6
4,AFKS,2008-01-16,44.5,43.0
5,AFKS,2008-01-17,42.51,42.498999999999995
6,AFKS,2008-01-18,42.309,42.0
7,AFKS,2008-01-21,41.85,40.0
8,AFKS,2008-01-22,38.51,39.7
9,AFKS,2008-01-23,40.949,38.0
10,AFKS,2008-01-24,39.66,40.2
11,AFKS,2008-01-25,41.49,41.4
12,AFKS,2008-01-28,40.49,40.3
13,AFKS,2008-01-29,41.2,40.2
14,AFKS,2008-01-30,39.8,39.99800000000001
15,AFKS,2008-01-31,40.0,38.699
16,AFKS,2008-02-01,39.486999999999995,39.699
17,AFKS,2008-02-04,40.5,40.593
18,AFKS,2008-02-05,40.598,39.687
19,AFKS,2008-02-06,38.9,39.6
20,AFKS,2008-02-07,39.94,39.46
21,AFKS,2008-02-08,39.001,38.2
22,AFKS,2008-02-11,38.03,38.01
23,AFKS,2008-02-12,38.46,40.277
24,AFKS,2008-02-13,40.97,40.601
25,AFKS,2008-02-14,41.0,40.0
26,AFKS,2008-02-15,39.01,39.75
27,AFKS,2008-02-18,40.65,40.0
28,AFKS,2008-02-19,40.0,39.95
29,AFKS,2008-02-20,40.0,39.9
30,AFKS,2008-02-21,40.5,39.6
31,AFKS,2008-02-22,39.11,39.595
32,AFKS,2008-02-26,39.595,39.5
33,AFKS,2008-02-27,39.52,39.0
34,AFKS,2008-02-28,38.501999999999995,38.7
35,AFKS,2008-02-29,39.299,38.2
36,AFKS,2008-03-03,38.0,38.0
37,AFKS,2008-03-04,38.0,38.075
38,AFKS,2008-03-05,38.69,37.95
39,AFKS,2008-03-06,38.02,38.225
40,AFKS,2008-03-07,37.99,37.3
41,AFKS,2008-03-11,37.11,37.0
42,AFKS,2008-03-12,37.111,36.696999999999996
43,AFKS,2008-03-13,36.7,36.75
44,AFKS,2008-03-14,36.71,36.997
45,AFKS,2008-03-17,36.6,35.522
46,AFKS,2008-03-18,35.98699999999999,35.2
47,AFKS,2008-03-19,35.878,34.745
48,AFKS,2008-03-20,34.79,34.4
49,AFKS,2008-03-21,34.765,34.2
50,AFKS,2008-03-24,33.55,34.85
51,AFKS,2008-03-25,34.413000000000004,34.2
52,AFKS,2008-03-26,34.548,33.6
53,AFKS,2008-03-27,33.85,34.0
54,AFKS,2008-03-28,34.363,33.95
