,COMPANY,DATE,OPEN,CLOSE
41673,KMAZ,2008-01-10,131.62,142.99
41674,KMAZ,2008-01-11,145.0,144.19
41675,KMAZ,2008-01-14,142.7,152.0
41676,KMAZ,2008-01-15,155.0,161.99
41677,KMAZ,2008-01-16,163.0,173.0
41678,KMAZ,2008-01-17,171.0,166.75
41679,KMAZ,2008-01-18,165.0,154.1
41680,KMAZ,2008-01-21,154.0,143.0
41681,KMAZ,2008-01-22,136.0,142.9
41682,KMAZ,2008-01-23,146.0,143.0
41683,KMAZ,2008-01-24,149.22,150.0
41684,KMAZ,2008-01-25,151.0,146.502
41685,KMAZ,2008-01-28,144.45,144.7
41686,KMAZ,2008-01-29,146.21,146.77
41687,KMAZ,2008-01-30,145.64,146.49
41688,KMAZ,2008-01-31,146.4,142.25
41689,KMAZ,2008-02-01,142.75,143.25
41690,KMAZ,2008-02-04,143.74,146.0
41691,KMAZ,2008-02-05,146.5,146.0
41692,KMAZ,2008-02-06,138.7,142.5
41693,KMAZ,2008-02-07,144.0,138.0
41694,KMAZ,2008-02-08,139.01,136.33
41695,KMAZ,2008-02-11,138.0,138.0
41696,KMAZ,2008-02-12,138.0,138.59
41697,KMAZ,2008-02-13,139.97,149.0
41698,KMAZ,2008-02-14,151.32,156.65
41699,KMAZ,2008-02-15,155.65,151.33
41700,KMAZ,2008-02-18,152.61,152.51
41701,KMAZ,2008-02-19,153.0,153.24
41702,KMAZ,2008-02-20,152.25,149.4
41703,KMAZ,2008-02-21,151.45,152.95
41704,KMAZ,2008-02-22,150.0,148.8
41705,KMAZ,2008-02-26,148.6,147.5
41706,KMAZ,2008-02-27,149.89,143.71
41707,KMAZ,2008-02-28,143.0,144.71
41708,KMAZ,2008-02-29,141.01,144.0
41709,KMAZ,2008-03-03,140.1,142.89
41710,KMAZ,2008-03-04,144.0,146.0
41711,KMAZ,2008-03-05,144.0,146.28
41712,KMAZ,2008-03-06,146.28,147.5
41713,KMAZ,2008-03-07,147.0,145.7
