,COMPANY,DATE,OPEN,CLOSE
89847,SBER,2008-01-10,102.07,103.53
89848,SBER,2008-01-11,103.6,104.7
89849,SBER,2008-01-14,104.28,105.0
89850,SBER,2008-01-15,105.2,105.71
89851,SBER,2008-01-16,104.29,101.8
89852,SBER,2008-01-17,102.2,101.0
89853,SBER,2008-01-18,100.49,98.8
89854,SBER,2008-01-21,97.12,91.25
89855,SBER,2008-01-22,86.3,93.0
89856,SBER,2008-01-23,96.15,90.5
89857,SBER,2008-01-24,94.55,96.5
89858,SBER,2008-01-25,98.0,94.3
89859,SBER,2008-01-28,91.0,89.53
89860,SBER,2008-01-29,91.85,94.21
89861,SBER,2008-01-30,93.61,91.99
89862,SBER,2008-01-31,91.6,87.89
89863,SBER,2008-02-01,90.5,90.2
89864,SBER,2008-02-04,92.5,90.8
89865,SBER,2008-02-05,90.0,87.2
89866,SBER,2008-02-06,84.0,88.2
89867,SBER,2008-02-07,88.0,84.89
89868,SBER,2008-02-08,86.1,83.89
89869,SBER,2008-02-11,83.8,83.2
89870,SBER,2008-02-12,84.05,85.39
89871,SBER,2008-02-13,85.15,85.45
89872,SBER,2008-02-14,87.0,85.46
89873,SBER,2008-02-15,84.98,83.4
89874,SBER,2008-02-18,83.8,84.84
89875,SBER,2008-02-19,85.39,85.0
89876,SBER,2008-02-20,83.67,83.09
89877,SBER,2008-02-21,84.36,83.75
89878,SBER,2008-02-22,82.96,82.99
89879,SBER,2008-02-26,84.11,85.1
89880,SBER,2008-02-27,85.7,83.78
89881,SBER,2008-02-28,83.55,82.95
89882,SBER,2008-02-29,82.4,80.2
89883,SBER,2008-03-03,78.2,78.7
89884,SBER,2008-03-04,79.0,76.5
89885,SBER,2008-03-05,77.1,78.32
89886,SBER,2008-03-06,79.37,77.1
89887,SBER,2008-03-07,75.32,74.86
89888,SBER,2008-03-11,74.9,78.6
89889,SBER,2008-03-12,79.65,78.5
89890,SBER,2008-03-13,77.0,75.9
89891,SBER,2008-03-14,76.52,76.77
89892,SBER,2008-03-17,74.87,72.81
89893,SBER,2008-03-18,73.73,74.58
89894,SBER,2008-03-19,76.43,74.5
89895,SBER,2008-03-20,72.87,73.75
89896,SBER,2008-03-21,74.76,74.46
89897,SBER,2008-03-24,74.63,77.68
89898,SBER,2008-03-25,77.98,75.0
89899,SBER,2008-03-26,74.84,72.98
89900,SBER,2008-03-27,72.7,72.95
89901,SBER,2008-03-28,73.54,73.75
89902,SBER,2008-03-31,72.9,73.48
89903,SBER,2008-04-01,73.5,75.1
89904,SBER,2008-04-02,76.82,78.75
89905,SBER,2008-04-03,78.77,76.72
89906,SBER,2008-04-04,77.14,77.35
89907,SBER,2008-04-07,78.02,79.14
89908,SBER,2008-04-08,78.68,77.5
89909,SBER,2008-04-09,77.26,78.55
89910,SBER,2008-04-10,78.21,77.3
89911,SBER,2008-04-11,78.0,74.4
89912,SBER,2008-04-14,73.45,73.96
89913,SBER,2008-04-15,74.27,73.65
89914,SBER,2008-04-16,74.0,75.0
89915,SBER,2008-04-17,75.65,73.59
89916,SBER,2008-04-18,73.75,76.56
89917,SBER,2008-04-21,77.05,75.13
89918,SBER,2008-04-22,74.8,74.86
89919,SBER,2008-04-23,74.97,74.19
89920,SBER,2008-04-24,74.35,73.99
89921,SBER,2008-04-25,74.55,74.88
89922,SBER,2008-04-28,75.15,75.54
89923,SBER,2008-04-29,75.65,76.85
89924,SBER,2008-04-30,76.85,77.1
89925,SBER,2008-05-04,77.78,80.34
89926,SBER,2008-05-05,79.99,80.8
89927,SBER,2008-05-06,80.85,80.1
89928,SBER,2008-05-07,80.9,82.25
89929,SBER,2008-05-08,81.0,81.45
89930,SBER,2008-05-12,80.88,83.1
89931,SBER,2008-05-13,83.84,82.78
89932,SBER,2008-05-14,82.85,84.1
89933,SBER,2008-05-15,84.5,84.0
89934,SBER,2008-05-16,84.6,85.7
89935,SBER,2008-05-19,86.03,88.7
89936,SBER,2008-05-20,88.25,87.36
89937,SBER,2008-05-21,86.45,87.38
89938,SBER,2008-05-22,86.9,85.58
89939,SBER,2008-05-23,85.84,86.32
89940,SBER,2008-05-26,85.86,84.4
89941,SBER,2008-05-27,84.7,83.35
89942,SBER,2008-05-28,83.48,84.79
89943,SBER,2008-05-29,85.0,85.05
89944,SBER,2008-05-30,85.58,85.2
89945,SBER,2008-06-02,85.12,84.6
89946,SBER,2008-06-03,83.53,83.89
89947,SBER,2008-06-04,83.11,82.5
89948,SBER,2008-06-05,81.99,82.2
89949,SBER,2008-06-06,83.32,81.0
89950,SBER,2008-06-07,79.6,78.62
89951,SBER,2008-06-09,78.92,79.18
89952,SBER,2008-06-10,78.41,78.86
89953,SBER,2008-06-11,79.21,78.5
89954,SBER,2008-06-16,79.44,78.89
89955,SBER,2008-06-17,79.49,81.05
89956,SBER,2008-06-18,80.67,80.65
89957,SBER,2008-06-19,80.0,80.22
89958,SBER,2008-06-20,80.2,79.0
89959,SBER,2008-06-23,78.46,78.09
89960,SBER,2008-06-24,78.0,76.41
89961,SBER,2008-06-25,76.72,78.0
89962,SBER,2008-06-26,78.77,77.47
89963,SBER,2008-06-27,75.76,75.99
89964,SBER,2008-06-30,75.88,74.29
89965,SBER,2008-07-01,74.1,71.48
89966,SBER,2008-07-02,72.2,72.7
89967,SBER,2008-07-03,71.71,72.6
89968,SBER,2008-07-04,73.05,72.32
89969,SBER,2008-07-07,72.89,73.47
89970,SBER,2008-07-08,72.15,74.28
89971,SBER,2008-07-09,75.04,75.3
89972,SBER,2008-07-10,73.87,75.1
89973,SBER,2008-07-11,75.1,72.77
89974,SBER,2008-07-14,73.34,74.64
89975,SBER,2008-07-15,73.21,72.22
89976,SBER,2008-07-16,72.5,72.78
89977,SBER,2008-07-17,74.3,77.35
89978,SBER,2008-07-18,76.49,75.35
89979,SBER,2008-07-21,76.23,77.0
89980,SBER,2008-07-22,76.3,74.35
89981,SBER,2008-07-23,76.03,75.9
89982,SBER,2008-07-24,76.49,75.71
89983,SBER,2008-07-25,73.95,70.25
89984,SBER,2008-07-28,70.99,69.64
89985,SBER,2008-07-29,67.63,66.3
89986,SBER,2008-07-30,68.49,70.15
89987,SBER,2008-07-31,70.77,69.09
89988,SBER,2008-08-01,68.15,67.66
89989,SBER,2008-08-04,67.5,63.77
89990,SBER,2008-08-05,63.51,62.17
89991,SBER,2008-08-06,64.05,63.4
89992,SBER,2008-08-07,63.31,64.0
89993,SBER,2008-08-08,63.02,59.75
89994,SBER,2008-08-11,59.5,65.8
89995,SBER,2008-08-12,64.99,67.33
89996,SBER,2008-08-13,65.98,64.7
89997,SBER,2008-08-14,64.54,64.0
89998,SBER,2008-08-15,65.0,65.63
89999,SBER,2008-08-18,66.25,65.5
90000,SBER,2008-08-19,64.12,62.39
90001,SBER,2008-08-20,62.01,62.44
90002,SBER,2008-08-21,62.25,62.63
90003,SBER,2008-08-22,62.71,62.92
90004,SBER,2008-08-25,63.38,59.8
90005,SBER,2008-08-26,58.48,55.71
90006,SBER,2008-08-27,57.06,56.22
90007,SBER,2008-08-28,56.66,59.64
90008,SBER,2008-08-29,58.72,57.4
90009,SBER,2008-09-01,56.32,58.3
90010,SBER,2008-09-02,58.06,61.1
90011,SBER,2008-09-03,60.48,59.29
90012,SBER,2008-09-04,59.15,56.25
90013,SBER,2008-09-05,54.18,54.4
90014,SBER,2008-09-08,57.66,57.08
90015,SBER,2008-09-09,56.2,52.0
90016,SBER,2008-09-10,49.46,49.0
90017,SBER,2008-09-11,48.69,44.89
90018,SBER,2008-09-12,46.89,47.6
90019,SBER,2008-09-15,45.47,45.99
90020,SBER,2008-09-16,42.85,36.0
90021,SBER,2008-09-17,38.99,32.55
90022,SBER,2008-09-19,36.0,43.99
90023,SBER,2008-09-22,46.64,43.3
90024,SBER,2008-09-23,41.97,42.8
90025,SBER,2008-09-24,42.8,45.8
90026,SBER,2008-09-25,45.0,46.35
90027,SBER,2008-09-26,45.7,43.78
90028,SBER,2008-09-29,43.59,40.2
90029,SBER,2008-09-30,37.17,43.69
90030,SBER,2008-10-01,44.88,42.07
90031,SBER,2008-10-02,42.0,41.45
90032,SBER,2008-10-03,40.1,42.1
90033,SBER,2008-10-06,39.23,35.5
90034,SBER,2008-10-07,36.01,36.5
90035,SBER,2008-10-08,33.4,30.0
90036,SBER,2008-10-09,32.99,31.54
90037,SBER,2008-10-13,33.54,28.6
90038,SBER,2008-10-14,33.01,34.0
90039,SBER,2008-10-15,33.98,29.35
90040,SBER,2008-10-16,26.01,27.38
90041,SBER,2008-10-17,29.0,26.18
90042,SBER,2008-10-20,28.0,26.51
90043,SBER,2008-10-21,27.57,26.53
90044,SBER,2008-10-22,25.32,25.6
90045,SBER,2008-10-23,24.53,22.67
90046,SBER,2008-10-24,21.68,17.5
90047,SBER,2008-10-28,17.9,18.1
90048,SBER,2008-10-29,19.3,22.15
90049,SBER,2008-10-30,24.99,28.69
90050,SBER,2008-10-31,28.69,27.77
90051,SBER,2008-11-01,28.6,28.39
90052,SBER,2008-11-05,31.5,28.6
90053,SBER,2008-11-06,25.0,26.1
90054,SBER,2008-11-07,25.1,28.8
90055,SBER,2008-11-10,30.61,30.66
90056,SBER,2008-11-11,29.5,27.01
90057,SBER,2008-11-13,23.0,25.23
90058,SBER,2008-11-14,28.5,25.18
90059,SBER,2008-11-17,25.15,23.58
90060,SBER,2008-11-18,22.5,25.53
90061,SBER,2008-11-19,25.2,24.45
90062,SBER,2008-11-20,22.19,24.03
90063,SBER,2008-11-21,24.32,22.74
90064,SBER,2008-11-24,23.98,25.8
90065,SBER,2008-11-25,26.64,24.6
90066,SBER,2008-11-26,24.8,24.04
90067,SBER,2008-11-27,24.9,24.67
90068,SBER,2008-11-28,24.85,23.21
90069,SBER,2008-12-01,23.19,22.0
90070,SBER,2008-12-02,20.79,22.05
90071,SBER,2008-12-03,22.16,21.01
90072,SBER,2008-12-04,21.11,20.44
90073,SBER,2008-12-05,20.09,20.44
90074,SBER,2008-12-08,21.67,21.61
90075,SBER,2008-12-09,21.52,21.02
90076,SBER,2008-12-10,21.17,21.05
90077,SBER,2008-12-11,21.01,22.04
90078,SBER,2008-12-12,21.04,22.07
90079,SBER,2008-12-15,22.65,22.49
90080,SBER,2008-12-16,22.19,22.78
90081,SBER,2008-12-17,23.59,22.33
90082,SBER,2008-12-18,22.24,21.7
90083,SBER,2008-12-19,21.17,22.2
