,COMPANY,DATE,OPEN,CLOSE
99448,TATN,2008-01-10,155.0,153.5
99449,TATN,2008-01-11,153.6,154.22
99450,TATN,2008-01-14,154.06,158.5
99451,TATN,2008-01-15,157.1,157.44
99452,TATN,2008-01-16,154.72,148.5
99453,TATN,2008-01-17,149.0,147.29
99454,TATN,2008-01-18,145.21,144.32
99455,TATN,2008-01-21,141.87,130.3
99456,TATN,2008-01-22,125.0,125.37
99457,TATN,2008-01-23,127.15,118.0
99458,TATN,2008-01-24,125.0,124.75
99459,TATN,2008-01-25,126.5,131.0
99460,TATN,2008-01-28,125.31,125.99
99461,TATN,2008-01-29,128.48,127.12
99462,TATN,2008-01-30,127.0,123.72
99463,TATN,2008-01-31,123.7,118.6
99464,TATN,2008-02-01,121.7,123.3
99465,TATN,2008-02-04,125.97,124.28
99466,TATN,2008-02-05,124.02,122.24
99467,TATN,2008-02-06,118.0,123.71
99468,TATN,2008-02-07,122.58,119.99
99469,TATN,2008-02-08,122.0,118.68
99470,TATN,2008-02-11,119.0,121.48
99471,TATN,2008-02-12,122.99,125.2
99472,TATN,2008-02-13,125.25,127.08
99473,TATN,2008-02-14,129.54,131.1
99474,TATN,2008-02-15,129.8,129.88
99475,TATN,2008-02-18,130.4,132.36
99476,TATN,2008-02-19,133.5,133.0
99477,TATN,2008-02-20,131.6,135.34
99478,TATN,2008-02-21,137.34,140.1
99479,TATN,2008-02-22,138.0,140.0
99480,TATN,2008-02-26,143.0,142.42
99481,TATN,2008-02-27,144.55,145.46
99482,TATN,2008-02-28,145.0,149.75
99483,TATN,2008-02-29,148.53,150.11
99484,TATN,2008-03-03,147.31,147.29
99485,TATN,2008-03-04,148.29,150.0
99486,TATN,2008-03-05,150.5,151.5
99487,TATN,2008-03-06,153.13,150.46
99488,TATN,2008-03-07,148.6,145.0
99489,TATN,2008-03-11,144.25,151.2
99490,TATN,2008-03-12,152.48,150.22
99491,TATN,2008-03-13,148.57,150.22
99492,TATN,2008-03-14,151.5,148.5
99493,TATN,2008-03-17,146.8,143.0
99494,TATN,2008-03-18,143.71,147.45
99495,TATN,2008-03-19,149.8,148.92
99496,TATN,2008-03-20,146.15,145.95
99497,TATN,2008-03-21,147.2,144.0
99498,TATN,2008-03-24,144.0,146.84
99499,TATN,2008-03-25,146.84,146.0
99500,TATN,2008-03-26,145.71,150.57
99501,TATN,2008-03-27,150.98,150.0
99502,TATN,2008-03-28,150.8,151.31
99503,TATN,2008-03-31,149.8,152.4
99504,TATN,2008-04-01,152.4,152.6
99505,TATN,2008-04-02,154.01,153.37
99506,TATN,2008-04-03,153.64,151.5
99507,TATN,2008-04-04,151.41,151.5
99508,TATN,2008-04-07,152.2,153.57
99509,TATN,2008-04-08,153.3,150.85
99510,TATN,2008-04-09,151.28,151.82
99511,TATN,2008-04-10,152.0,150.51
99512,TATN,2008-04-11,151.21,144.2
99513,TATN,2008-04-14,143.0,142.92
99514,TATN,2008-04-15,144.05,147.79
99515,TATN,2008-04-16,148.05,149.98
99516,TATN,2008-04-17,151.0,150.28
99517,TATN,2008-04-18,150.52,154.0
99518,TATN,2008-04-21,154.73,153.4
99519,TATN,2008-04-22,153.39,153.1
99520,TATN,2008-04-23,153.27,153.91
99521,TATN,2008-04-24,153.66,151.57
99522,TATN,2008-04-25,151.34,153.3
99523,TATN,2008-04-28,154.1,152.84
99524,TATN,2008-04-29,153.0,152.9
99525,TATN,2008-04-30,153.3,151.91
99526,TATN,2008-05-04,153.1,153.45
99527,TATN,2008-05-05,153.02,152.28
99528,TATN,2008-05-06,153.0,159.11
99529,TATN,2008-05-07,160.36,162.7
99530,TATN,2008-05-08,161.97,169.73
99531,TATN,2008-05-12,168.95,173.2
99532,TATN,2008-05-13,171.0,175.5
99533,TATN,2008-05-14,175.68,182.01
99534,TATN,2008-05-15,182.2,187.9
99535,TATN,2008-05-16,188.6,189.13
99536,TATN,2008-05-19,190.51,187.56
99537,TATN,2008-05-20,188.21,187.66
99538,TATN,2008-05-21,187.0,187.3
99539,TATN,2008-05-22,188.4,186.5
99540,TATN,2008-05-23,185.59,187.5
99541,TATN,2008-05-26,187.01,184.04
99542,TATN,2008-05-27,184.62,182.03
99543,TATN,2008-05-28,179.1,184.0
99544,TATN,2008-05-29,185.95,187.17
99545,TATN,2008-05-30,186.87,189.41
99546,TATN,2008-06-02,189.0,186.23
99547,TATN,2008-06-03,185.15,186.91
99548,TATN,2008-06-04,185.36,179.52
99549,TATN,2008-06-05,177.97,182.82
99550,TATN,2008-06-06,186.1,187.45
99551,TATN,2008-06-07,183.77,183.0
99552,TATN,2008-06-09,182.99,184.34
99553,TATN,2008-06-10,183.99,184.01
99554,TATN,2008-06-11,183.8,184.85
99555,TATN,2008-06-16,184.48,182.8
99556,TATN,2008-06-17,181.99,184.0
99557,TATN,2008-06-18,183.6,183.0
99558,TATN,2008-06-19,182.09,184.47
99559,TATN,2008-06-20,183.49,181.8
