;Unnamed: 0;COMPANY;DATE;OPEN;CLOSE
0;89847;SBER;2008-01-10;102.07;103.53
1;89848;SBER;2008-01-11;103.6;104.7
2;89848;SBER;2008-01-12;103.6;104.7
3;89848;SBER;2008-01-13;103.6;104.7
4;89849;SBER;2008-01-14;104.28;105.0
5;89850;SBER;2008-01-15;105.2;105.71
6;89851;SBER;2008-01-16;104.29;101.8
7;89852;SBER;2008-01-17;102.2;101.0
8;89853;SBER;2008-01-18;100.49;98.8
9;89853;SBER;2008-01-19;100.49;98.8
10;89853;SBER;2008-01-20;100.49;98.8
11;89854;SBER;2008-01-21;97.12;91.25
12;89855;SBER;2008-01-22;86.3;93.0
13;89856;SBER;2008-01-23;96.15;90.5
14;89857;SBER;2008-01-24;94.55;96.5
15;89858;SBER;2008-01-25;98.0;94.3
16;89858;SBER;2008-01-26;98.0;94.3
17;89858;SBER;2008-01-27;98.0;94.3
18;89859;SBER;2008-01-28;91.0;89.53
19;89860;SBER;2008-01-29;91.85;94.21
20;89861;SBER;2008-01-30;93.61;91.99
21;89862;SBER;2008-01-31;91.6;87.89
22;89863;SBER;2008-02-01;90.5;90.2
23;89863;SBER;2008-02-02;90.5;90.2
24;89863;SBER;2008-02-03;90.5;90.2
25;89864;SBER;2008-02-04;92.5;90.8
26;89865;SBER;2008-02-05;90.0;87.2
27;89866;SBER;2008-02-06;84.0;88.2
28;89867;SBER;2008-02-07;88.0;84.89
29;89868;SBER;2008-02-08;86.1;83.89
30;89868;SBER;2008-02-09;86.1;83.89
31;89868;SBER;2008-02-10;86.1;83.89
32;89869;SBER;2008-02-11;83.8;83.2
33;89870;SBER;2008-02-12;84.05;85.39
34;89871;SBER;2008-02-13;85.15;85.45
35;89872;SBER;2008-02-14;87.0;85.46
36;89873;SBER;2008-02-15;84.98;83.4
37;89873;SBER;2008-02-16;84.98;83.4
38;89873;SBER;2008-02-17;84.98;83.4
39;89874;SBER;2008-02-18;83.8;84.84
40;89875;SBER;2008-02-19;85.39;85.0
41;89876;SBER;2008-02-20;83.67;83.09
42;89877;SBER;2008-02-21;84.36;83.75
43;89878;SBER;2008-02-22;82.96;82.99
44;89878;SBER;2008-02-23;82.96;82.99
45;89878;SBER;2008-02-24;82.96;82.99
46;89878;SBER;2008-02-25;82.96;82.99
47;89879;SBER;2008-02-26;84.11;85.1
48;89880;SBER;2008-02-27;85.7;83.78
49;89881;SBER;2008-02-28;83.55;82.95
50;89882;SBER;2008-02-29;82.4;80.2
51;89882;SBER;2008-03-01;82.4;80.2
52;89882;SBER;2008-03-02;82.4;80.2
53;89883;SBER;2008-03-03;78.2;78.7
54;89884;SBER;2008-03-04;79.0;76.5
55;89885;SBER;2008-03-05;77.1;78.32
56;89886;SBER;2008-03-06;79.37;77.1
57;89887;SBER;2008-03-07;75.32;74.86
58;89887;SBER;2008-03-08;75.32;74.86
59;89887;SBER;2008-03-09;75.32;74.86
60;89887;SBER;2008-03-10;75.32;74.86
61;89888;SBER;2008-03-11;74.9;78.6
62;89889;SBER;2008-03-12;79.65;78.5
63;89890;SBER;2008-03-13;77.0;75.9
64;89891;SBER;2008-03-14;76.52;76.77
65;89891;SBER;2008-03-15;76.52;76.77
66;89891;SBER;2008-03-16;76.52;76.77
67;89892;SBER;2008-03-17;74.87;72.81
68;89893;SBER;2008-03-18;73.73;74.58
69;89894;SBER;2008-03-19;76.43;74.5
70;89895;SBER;2008-03-20;72.87;73.75
71;89896;SBER;2008-03-21;74.76;74.46
72;89896;SBER;2008-03-22;74.76;74.46
73;89896;SBER;2008-03-23;74.76;74.46
74;89897;SBER;2008-03-24;74.63;77.68
75;89898;SBER;2008-03-25;77.98;75.0
76;89899;SBER;2008-03-26;74.84;72.98
77;89900;SBER;2008-03-27;72.7;72.95
78;89901;SBER;2008-03-28;73.54;73.75
79;89901;SBER;2008-03-29;73.54;73.75
80;89901;SBER;2008-03-30;73.54;73.75
81;89902;SBER;2008-03-31;72.9;73.48
82;89903;SBER;2008-04-01;73.5;75.1
83;89904;SBER;2008-04-02;76.82;78.75
84;89905;SBER;2008-04-03;78.77;76.72
