;Unnamed: 0;COMPANY;DATE;OPEN;CLOSE
0;99448;TATN;2008-01-10;155.0;153.5
1;99449;TATN;2008-01-11;153.6;154.22
2;99449;TATN;2008-01-12;153.6;154.22
3;99449;TATN;2008-01-13;153.6;154.22
4;99450;TATN;2008-01-14;154.06;158.5
5;99451;TATN;2008-01-15;157.1;157.44
6;99452;TATN;2008-01-16;154.72;148.5
7;99453;TATN;2008-01-17;149.0;147.29
8;99454;TATN;2008-01-18;145.21;144.32
9;99454;TATN;2008-01-19;145.21;144.32
10;99454;TATN;2008-01-20;145.21;144.32
11;99455;TATN;2008-01-21;141.87;130.3
12;99456;TATN;2008-01-22;125.0;125.37
13;99457;TATN;2008-01-23;127.15;118.0
14;99458;TATN;2008-01-24;125.0;124.75
15;99459;TATN;2008-01-25;126.5;131.0
16;99459;TATN;2008-01-26;126.5;131.0
17;99459;TATN;2008-01-27;126.5;131.0
18;99460;TATN;2008-01-28;125.31;125.99
19;99461;TATN;2008-01-29;128.48;127.12
20;99462;TATN;2008-01-30;127.0;123.72
21;99463;TATN;2008-01-31;123.7;118.6
22;99464;TATN;2008-02-01;121.7;123.3
23;99464;TATN;2008-02-02;121.7;123.3
24;99464;TATN;2008-02-03;121.7;123.3
25;99465;TATN;2008-02-04;125.97;124.28
26;99466;TATN;2008-02-05;124.02;122.24
27;99467;TATN;2008-02-06;118.0;123.71
28;99468;TATN;2008-02-07;122.58;119.99
29;99469;TATN;2008-02-08;122.0;118.68
30;99469;TATN;2008-02-09;122.0;118.68
31;99469;TATN;2008-02-10;122.0;118.68
32;99470;TATN;2008-02-11;119.0;121.48
33;99471;TATN;2008-02-12;122.99;125.2
34;99472;TATN;2008-02-13;125.25;127.08
35;99473;TATN;2008-02-14;129.54;131.1
36;99474;TATN;2008-02-15;129.8;129.88
37;99474;TATN;2008-02-16;129.8;129.88
38;99474;TATN;2008-02-17;129.8;129.88
39;99475;TATN;2008-02-18;130.4;132.36
40;99476;TATN;2008-02-19;133.5;133.0
41;99477;TATN;2008-02-20;131.6;135.34
42;99478;TATN;2008-02-21;137.34;140.1
43;99479;TATN;2008-02-22;138.0;140.0
44;99479;TATN;2008-02-23;138.0;140.0
45;99479;TATN;2008-02-24;138.0;140.0
46;99479;TATN;2008-02-25;138.0;140.0
47;99480;TATN;2008-02-26;143.0;142.42
48;99481;TATN;2008-02-27;144.55;145.46
49;99482;TATN;2008-02-28;145.0;149.75
50;99483;TATN;2008-02-29;148.53;150.11
51;99483;TATN;2008-03-01;148.53;150.11
52;99483;TATN;2008-03-02;148.53;150.11
53;99484;TATN;2008-03-03;147.31;147.29
54;99485;TATN;2008-03-04;148.29;150.0
55;99486;TATN;2008-03-05;150.5;151.5
56;99487;TATN;2008-03-06;153.13;150.46
57;99488;TATN;2008-03-07;148.6;145.0
58;99488;TATN;2008-03-08;148.6;145.0
59;99488;TATN;2008-03-09;148.6;145.0
60;99488;TATN;2008-03-10;148.6;145.0
61;99489;TATN;2008-03-11;144.25;151.2
62;99490;TATN;2008-03-12;152.48;150.22
63;99491;TATN;2008-03-13;148.57;150.22
64;99492;TATN;2008-03-14;151.5;148.5
65;99492;TATN;2008-03-15;151.5;148.5
66;99492;TATN;2008-03-16;151.5;148.5
67;99493;TATN;2008-03-17;146.8;143.0
68;99494;TATN;2008-03-18;143.71;147.45
69;99495;TATN;2008-03-19;149.8;148.92
70;99496;TATN;2008-03-20;146.15;145.95
71;99497;TATN;2008-03-21;147.2;144.0
72;99497;TATN;2008-03-22;147.2;144.0
